stockid,fao_area
LOBSTERSNE,21
LSKAT5YCHATT,21
LSTHORNHPCOAST,67;77
MENATGM,31
MENATLAN,21;31
MONKGOMNGB,21
MONKSGBMATL,21
MUTSNAPSATLCGM,31
NROCKBSAI,61;67
NROCKGA,67
NRSOLEEBSAI,61;67
NRSOLEGA,67
OPOUTNWATLC,21
PANDALGOM,21
PCODAI,61;67
PCODBS,61;67
PCODBSAI,61;67
PCODGA,67
PERCHEBSAI,61;67
PGEODWA,67
PHAKEPCOAST,67;77
PINKSHRIMPGM,31
POLL5YZ,21
POPERCHGA,67
POPERCHPCOAST,67;77
PSALMAFFLECKCI,2
PSALMAFOGNAKD,2
PSALMAIALIKL,2
PSALMAKPNWD,2
PSALMAKPSESCD,2
PSALMAKPSWUD,2
PSALMALITAKD,2
PSALMAMAKC,2
PSALMANAN,2
PSALMAUKEC,2
PSALMBARABARA,2
PSALMBARANOFE,2
PSALMBKAMISHAKR,2
PSALMBRUINR,2
PSALMBURNETT,2
PSALMCHIGNIKBD,2
PSALMCHIGNIKCD,2
PSALMCHIGNIKED,2
PSALMCHIGNIKWD,2
PSALMCHINAP,2
PSALMCOGHILLD,2
PSALMDOGFISH,2
PSALMDOSEWHC,2
PSALMDUCKA,2
PSALMDUNGENHC,2
PSALMEBEHM,2
PSALMEDALL,2
PSALMELIZAH,2
PSALMESHAMYD,2
PSALMESND,2
PSALMFARRAGUT,2
PSALMFRESHWB,2
PSALMGOLOVIN,2
PSALMHETTA,2
PSALMHHAMMAHC,2
PSALMHOMES,2
PSALMHOONAHS,2
PSALMHOUGHTON,2
PSALMHUMPCY,2
PSALMHUMPYCCISD,2
PSALMIGUSHIK,2
PSALMJAMESLOD,2
PSALMKASAAN,2
PSALMKELPB,2
PSALMKLAWOCK,2
PSALMKODIAKMD,2
PSALMKODIAKWD,2
PSALMKUSKOKWIM,2
PSALMLISIANSKI,2
PSALMLKAMR,2
PSALMLYNNCD112,2
PSALMLYNNCD115,2
PSALMMOIRA,2
PSALMMONTD,2
PSALMMPNBNS,2
PSALMNCHICHAGO,2
PSALMNISQPS,2
PSALMNOME,2
PSALMNOOKSPS,2
PSALMNUNAKWIKD,2
PSALMNUSHAGAKR,2
PSALMPCHATHAM,2
PSALMPDICK,2
PSALMPERRYVILLED,2
PSALMPGRAHAMSD,2
PSALMPORTAGEB,2
PSALMPORTLAND,2
PSALMPORTLOCK,2
PSALMPUYALLUPPS,2
PSALMPWSED,2
PSALMPWSNWD,2
PSALMPWSSED,2
PSALMPWSSWD,2
PSALMPYBUSGA,2
PSALMRATZH,2
PSALMRESB,2
PSALMROCKYROD,2
PSALMSAGINWB,2
PSALMSAKP,2
PSALMSALISBURY,2
PSALMSASHINCNI,2
PSALMSBPCKD,2
PSALMSEAOTTER,2
PSALMSEBARAN,2
PSALMSELDOVIAB,2
PSALMSEYMOUR,2
PSALMSHAKTOOLIKNS,2
PSALMSHIPLEY,2
PSALMSITKAS,2
PSALMSITUKR,2
PSALMSKAGPS,2
PSALMSLOCUM,2
PSALMSNAKER,2
PSALMSNOHPS,2
PSALMSTEPHENS,2
PSALMSTIKINE,2
PSALMSTILLAPS,2
PSALMSWADMIR,2
PSALMTANAKEE,2
PSALMTEBENKOF,2
PSALMTOTEMB,2
PSALMTUTKASD,2
PSALMUCOOKI,2
PSALMUNALAKLEETNS,2
PSALMUNIONB,2
PSALMWADMIRAL,2
PSALMWBEHM,2
PSALMWCRAWFISH,2
PSALMWHALEB,2
PSALMWHALEP,2
PSALMWINDYC,2
PSALMWOODR,2
PSOLEPCOAST,67;77
QUAHATLC,21;31
RDEEPCRABNWATL,21
REXSOLEGA,67
REXSOLEPCOAST,67;77
REYEROCKBSAI,61;67
REYEROCKGA,67
RGROUPGM,31
RGROUPSATL,31
RHAKEGOMNGB,21
RHAKESGBMATL,21
RKCRABBB,67
RKCRABNS,67
RKCRABPI,67
RPORGYSATLC,31
RSKATMATLC,21;31
RSNAPGM,31
RSNAPSATLC,31
RSOLEGA,67
SABLEFEBSAIGA,61;67
SABLEFPCOAST,67;77
SARDPCOAST,67;77
SBARSHARATL,31
SBELLYROCKPCOAST,67;77
SCALL5ZMAB,21
SCHHEADATL,21;31
SCUPNWATLC,21
SDOGATLC,21;31
SFLOUNMATLC,21;31
SHAKEGOMNGB,21
SHAKESGBMATL,21
SHCROCKPCOAST,67;77
SKSNAPCARIB,31
SMDOGATL,21;31
SNOSESHARATL,31
SNOWCRABBS,61;67
SNOWGROUPSATLC,31
SNROCKPCOAST,67;77
SPANMACKGM,31
SPANMACKSATLC,31
SPSDOGPCOAST,67;77
SRAKEROCKBSAI,61;67
SRAKEROCKGA,67
SSALMAKALURAL,2
SSALMAWKER,2
SSALMBEARR,2
SSALMBLACKL,2
SSALMBRANCH,2
SSALMBUSKINL,2
SSALMCHIGNIKL,2
SSALMCHILKATL,2
SSALMCHILKOOTL,2
SSALMCOLR,2
SSALMEALSEKDR,2
SSALMEGEGIK,2
SSALMEUPPERS,2
SSALMIGUSHIK,2
SSALMILNIKR,2
SSALMITALOR,2
SSALMKARLUKL,2
SSALMKLUKSHUR,2
SSALMKUSKOKWIM,2
SSALMKVICHAK,2
SSALMLOSTR,2
SSALMLRIVER,2
SSALMLUPPERS,2
SSALMLWASH,2
SSALMMALINAL,2
SSALMMCDONALD,2
SSALMNAKNEK,2
SSALMNELSONR,2
SSALMNUSHAGAK,2
SSALMNUYAKUK,2
SSALMORZINSKIL,2
SSALMPASAGSHAKR,2
SSALMPAULSBD,2
SSALMQUIN,2
SSALMREDOUBTL,2
SSALMSALTERYL,2
SSALMSANDYR,2
SSALMSITUKR,2
SSALMSPEELL,2
SSALMSTIKINE,2
SSALMTAHLTAN,2
SSALMTAKUR,2
SSALMTOGIAK,2
SSALMUCOOKI,2
SSALMUGANIKL,2
SSALMUGASHIK,2
SSALMWOOD,2
SSKAT5YZSNE,21
SSTHORNHGA,67
SSTHORNHPCOAST,67;77
STFLOUNNPCOAST,67
STFLOUNSPCOAST,77
STMARLINNPAC,67
STRIPEDBASSGOMCHATT,21
SURFMATLC,21;31
TANNERCRABBSAI,61;67
TILEGM,31
TILEMATLC,21;31
TILESATLC,31
TSKAT5YZSNE,21
VSNAPGM,31
VSNAPSATLC,31
WEAKFISHATLC,21;31
WHAKEGBGOM,21
WINDOWGOMGB,21
WINDOWSNEMATL,21
WINFLOUN5Z,21
WINFLOUND5Y,21
WINFLOUNSNEMATL,21
WITFLOUN5Y,21
WPOLLAI,61;67
WPOLLBOGO,67
WPOLLEBS,61;67
WPOLLGA,67
WROCKPCOAST,67;77
WSHRIMPGM,31
WSKAT5YCHATT,21
WVSCALLALASKA,61;67
YEGROUPGM,31
YELLCCODGOM,21
YELLGB,21
YELLSNEMATL,21
YEYEROCKGA,67
YEYEROCKPCOAST,67;77
YSOLEBSAI,61;67
YTROCKNPCOAST,67
YTSNAPSATLCGM,31
